label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label,metal
si_si_cal_23_lb20_ez2.0_xz0.0_mh5,2129,-0.72,-0.09,0.125,-0.682,-0.98,98,0.245,0.023,-0.016,1.48,6.7,4,16,20,2.0,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.0_mh10,2129,-0.69,-0.08,0.133,-0.617,-0.95,89,0.281,0.019,-0.02,0.95,11.2,4,14,20,2.0,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.0_mh20,2129,-0.48,-0.06,0.137,-0.418,-0.74,81,0.37,0.018,-0.022,0.82,17.0,5,13,20,2.0,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.0_mh40,2129,-0.49,-0.06,0.145,-0.401,-0.75,76,0.382,0.019,-0.026,0.73,18.5,5,13,20,2.0,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.5_mh5,2129,-0.76,-0.09,0.124,-0.72,-1.01,98,0.235,0.023,-0.015,1.47,6.4,4,16,20,2.0,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.5_mh10,2129,-0.73,-0.09,0.131,-0.659,-0.99,89,0.258,0.019,-0.02,0.97,10.2,4,14,20,2.0,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.5_mh20,2129,-0.69,-0.08,0.134,-0.609,-0.95,83,0.301,0.018,-0.022,0.83,13.9,4,14,20,2.0,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.0_xz0.5_mh40,2129,-0.67,-0.08,0.136,-0.582,-0.93,81,0.309,0.018,-0.023,0.8,14.8,4,14,20,2.0,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.0_mh5,2129,-0.12,-0.01,0.101,-0.139,-0.37,48,0.312,0.029,-0.017,1.73,6.5,3,6,20,2.5,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.0_mh10,2129,-0.02,-0.0,0.106,-0.022,-0.34,47,0.404,0.027,-0.019,1.42,11.7,3,6,20,2.5,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.0_mh20,2129,0.18,0.02,0.109,0.191,-0.26,47,0.532,0.024,-0.019,1.26,17.0,8,5,20,2.5,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.0_mh40,2129,0.09,0.01,0.117,0.09,-0.35,46,0.543,0.024,-0.024,1.0,17.9,8,5,20,2.5,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez2.5_xz0.5_mh5,2129,-0.12,-0.01,0.101,-0.144,-0.38,48,0.292,0.03,-0.016,1.89,6.4,3,12,20,2.5,0.5,5,si_cal_23,SI2-SI3 calendar,silver
