date,nav_usd,ret_net
2024-05-22,209704957.8165792,0.0032771361153480227
2024-05-23,211880558.77745563,0.010374580475008832
2024-05-24,212018803.20927468,0.0006524639760094475
2024-05-25,212016193.89124757,-1.2307012338513323e-05
2024-05-26,212013584.6053334,-1.2307012338513323e-05
2024-05-27,211468669.65348986,-0.0025701888530299246
2024-05-28,210985851.81701845,-0.002283164864386447
2024-05-29,211991211.96333945,0.004765059541494411
2024-05-30,213486695.64973304,0.0070544607606291216
2024-05-31,214099329.01408905,0.0028696559403456464
2024-06-01,214096314.52505368,-1.4079862133402366e-05
2024-06-02,214093300.07846192,-1.4079862133402366e-05
2024-06-03,214534810.91100782,0.002062235634576571
2024-06-04,214143938.4800246,-0.0018219534131705575
2024-06-05,215894071.24335995,0.008172693449824813
2024-06-06,215966389.52341706,0.0003349711256109218
2024-06-07,216031628.36645034,0.0003020786853792244
2024-06-08,216027028.91050014,-2.1290660006536187e-05
2024-06-09,216022429.5524754,-2.1290660006536187e-05
2024-06-10,218051316.86215225,0.009392021531652884
2024-06-11,217260144.76292762,-0.003628375698940654
2024-06-12,218347840.64339975,0.005006421594991555
2024-06-13,216286423.58213633,-0.009440977548434164
2024-06-14,217942633.70413595,0.007657485359318658
2024-06-15,217939816.80669656,-1.2924949063424878e-05
2024-06-16,217936999.94566542,-1.2924949063424878e-05
2024-06-17,220137117.781568,0.01009520107393922
2024-06-18,219990474.40103227,-0.0006661456369263725
2024-06-19,219876902.49470186,-0.0005162582909083749
2024-06-20,223121478.74097684,0.014756330517040861
2024-06-21,220594120.59932506,-0.011327274074701818
2024-06-22,220592701.42940482,-6.433398661638767e-06
2024-06-23,220591238.58248767,-6.631438427876191e-06
2024-06-24,219021884.72294334,-0.0071143073026332
2024-06-25,218404962.69327062,-0.002816714094361409
2024-06-26,217136644.64035684,-0.005807185135692383
2024-06-27,216457736.52890998,-0.003126639967064564
2024-06-28,216588586.45993972,0.0006045056791595944
2024-06-29,216508657.9663524,-0.0003690337283867427
2024-06-30,216506002.85190627,-1.2263317647857576e-05
2024-07-01,216309165.8793622,-0.0009091524943939762
2024-07-02,216001988.19924814,-0.0014200862865208865
2024-07-03,218143101.4250985,0.009912469990208266
2024-07-04,218322168.10977948,0.0008208679692877698
2024-07-05,218033645.53767368,-0.001321545011227323
2024-07-06,218033645.53767368,0.0
2024-07-07,217940499.85845354,-0.00042720782377610807
2024-07-08,220166439.57092276,0.010213520267756133
2024-07-09,221183029.10402456,0.004617368274124947
2024-07-10,223040996.21204773,0.008400134113134606
2024-07-11,221499702.2031915,-0.00691036192911789
2024-07-12,222892729.57163632,0.006289071066862927
2024-07-13,222890194.82243395,-1.137205869035781e-05
2024-07-14,222887660.1020569,-1.137205869035781e-05
2024-07-15,225244706.73441204,0.01057504319115693
2024-07-16,224251931.45683524,-0.004407540989397867
2024-07-17,222421537.20765948,-0.008162222894959038
2024-07-18,223296842.08531857,0.0039353422723711565
2024-07-19,221253615.8626393,-0.009150269227267454
2024-07-20,221251283.8749917,-1.0539884912271801e-05
2024-07-21,221248951.91192296,-1.0539884912271801e-05
2024-07-22,219557072.13355136,-0.007646950477058518
2024-07-23,219176543.12538168,-0.0017331667091016723
2024-07-24,218332427.5080005,-0.003851304548125504
2024-07-25,216474557.84151867,-0.008509362020507644
2024-07-26,219557413.9274429,0.01424119359181792
2024-07-27,219555217.18172914,-1.000533607354984e-05
2024-07-28,219552951.4405357,-1.0319687331884461e-05
2024-07-29,218461262.95460516,-0.004972324347123206
2024-07-30,220031007.29104373,0.007185458489108684
2024-07-31,222124154.54445943,0.009512964918835472
2024-08-01,221167362.97290403,-0.004307462975008897
2024-08-02,218291479.2318475,-0.013003201296969092
2024-08-03,218290706.69754165,-3.5390034854928658e-06
2024-08-04,218289909.99922445,-3.649712483073105e-06
2024-08-05,213561779.0342986,-0.021659869505386908
2024-08-06,214639721.20467427,0.005047448917357755
2024-08-07,215409197.18668294,0.003584965437384667
2024-08-08,216667471.6983576,0.005841322135304085
2024-08-09,216988690.70475423,0.0014825437518550364
2024-08-10,216988441.11792564,-1.1502296630945259e-06
2024-08-11,216988183.69576344,-1.1863404377566296e-06
2024-08-12,218191136.20972338,0.005543861852157645
2024-08-13,218996924.95132026,0.0036930406779784332
2024-08-14,218045362.83625278,-0.004345093499733042
2024-08-15,220902276.81912467,0.013102383585278855
2024-08-16,221464586.6147028,0.0025455138067159914
2024-08-17,221463335.3178363,-5.650099122307214e-06
2024-08-18,221462045.62002638,-5.82352743880922e-06
2024-08-19,220052478.05329117,-0.0063648268162106985
2024-08-20,219561373.0535087,-0.002231763096362735
2024-08-21,219917095.6008977,0.0016201508600620616
2024-08-22,220475721.5738778,0.002540166199693431
2024-08-23,221213329.04263857,0.003345526951880691
2024-08-24,221211610.81050798,-7.767308317304984e-06
2024-08-25,221209839.32499057,-8.00810369281445e-06
2024-08-26,222351801.81308132,0.00516234943063747
2024-08-27,221246795.8138239,-0.0049696291653455165
2024-08-28,219501701.91730997,-0.007887544269714216
2024-08-29,219348474.470754,-0.0006980695148035818
2024-08-30,218137766.5858782,-0.00551956373435924
2024-08-31,218137056.28210518,-3.256216399898369e-06
2024-09-01,218181553.80662057,0.00020398883744829775
2024-09-02,217953396.71828136,-0.0010457212553422865
2024-09-03,213063242.71234784,-0.02243669554851851
2024-09-04,211610559.65200752,-0.006818083878980247
2024-09-05,212395800.2501594,0.0037107817277324583
2024-09-06,211490262.26143423,-0.004263445829242605
2024-09-07,211489127.90153518,-5.363650727434038e-06
2024-09-08,211487960.24174693,-5.521133874948285e-06
2024-09-09,213104706.11644864,0.007644623707437732
2024-09-10,212829468.6849355,-0.0012915596118404107
2024-09-11,213783038.00394213,0.0044804383758446946
2024-09-12,215524559.05682555,0.00814620780555696
2024-09-13,216072829.719073,0.0025438894975439905
2024-09-14,216071361.7545918,-6.7938411466422086e-06
2024-09-15,216069847.6771807,-7.0073025819055195e-06
2024-09-16,216114339.42334563,0.00020591372023085502
2024-09-17,217127451.64271268,0.0046878528378558664
2024-09-18,216776248.17036992,-0.001617499167818976
2024-09-19,219322099.64570925,0.011744144004828625
2024-09-20,219694487.66365466,0.001697904673295522
2024-09-21,219693977.9646963,-2.320035262578991e-06
2024-09-22,219693468.26692045,-2.320035262578991e-06
2024-09-23,217508193.1450931,-0.009946928049641807
2024-09-24,219392059.49693304,0.008661128229699873
2024-09-25,218954685.1529491,-0.0019935741748670524
2024-09-26,220562217.6712704,0.007341850288329655
2024-09-27,218970726.48113096,-0.007215611118452817
2024-09-28,219024890.48937884,0.0002473573025870349
2024-09-29,219079575.4194266,0.00024967450012438057
2024-09-30,217466124.01516932,-0.007364681993601322
2024-10-01,217052688.56776986,-0.001901148738782986
2024-10-02,217562629.68854553,0.0023493886398758897
2024-10-03,211801422.85348934,-0.02648068210659021
2024-10-04,212331636.5899219,0.0025033530430971845
2024-10-05,212213800.73492068,-0.0005549613655963289
2024-10-06,212203176.19035214,-5.006528572486769e-05
2024-10-07,213620194.75192708,0.0066776501040863015
2024-10-08,213495944.1197501,-0.0005816427249365936
2024-10-09,213241738.85881573,-0.0011906795793355516
2024-10-10,213686624.46801206,0.0020862970428639697
2024-10-11,215126304.66529682,0.0067373435322352565
2024-10-12,215135164.2696762,4.118326856006014e-05
2024-10-13,215144302.6229968,4.2477264707621816e-05
2024-10-14,215767797.31978318,0.0028980302484651024
2024-10-15,216450256.99441072,0.00316293572583543
2024-10-16,216821750.50770307,0.0017162997099233513
2024-10-17,216624411.79413185,-0.0009101426084290987
2024-10-18,219248018.05927947,0.012111313971580256
2024-10-19,219258256.20628777,4.669664564781532e-05
2024-10-20,219255686.262019,-1.1721083225120487e-05
2024-10-21,218296373.95959365,-0.004375313218918989
2024-10-22,218562976.8891602,0.0012212888594104636
2024-10-23,217138603.90541345,-0.006516991139213299
2024-10-24,217448635.03255242,0.0014278028943851876
2024-10-25,217749532.5130702,0.0013837634826852937
2024-10-26,217748693.8054083,-3.8517082090453064e-06
2024-10-27,217747855.10097682,-3.8517082090453064e-06
2024-10-28,219584194.54363543,0.00843332965005345
2024-10-29,218879165.905957,-0.003210744011624735
2024-10-30,218209451.1759673,-0.003059746354650715
2024-10-31,217060801.04463607,-0.005263979745794516
2024-11-01,216815812.6817353,-0.0011286623919276187
2024-11-02,216813932.7615453,-8.670586184391954e-06
2024-11-03,216812052.85765532,-8.670586184391954e-06
2024-11-04,216993940.43395102,0.0008389181961904984
2024-11-05,219344407.89995614,0.010831949783042718
2024-11-06,217128217.88468665,-0.010103699640614045
2024-11-07,218963029.5483026,0.008450360259440787
2024-11-08,219028258.02053702,0.0002978971946496154
2024-11-09,219026651.79370803,-7.333422835614351e-06
2024-11-10,219025045.5786581,-7.333422835614351e-06
2024-11-11,217943593.67521647,-0.00493757186802316
2024-11-12,217181104.85403016,-0.0034985603766936424
2024-11-13,216361214.4786943,-0.0037751459819071027
2024-11-14,217065844.50480354,0.0032567298524689473
2024-11-15,217143013.405791,0.00035550918277136125
2024-11-16,217141747.64045632,-5.829178267532585e-06
2024-11-17,217140481.88250002,-5.829178267532585e-06
2024-11-18,218267736.276285,0.0051913599159965785
2024-11-19,219171808.74906385,0.004142034403263626
2024-11-20,219085944.23837072,-0.00039176804345051176
2024-11-21,219289121.17401847,0.0009273846222956468
2024-11-22,219907945.7895919,0.0028219576614671397
2024-11-23,219906548.35331514,-6.354642037920176e-06
2024-11-24,219905150.92591855,-6.354642037920176e-06
2024-11-25,219255968.8951463,-0.0029521001579036633
2024-11-26,219397908.57021317,0.0006473697194292844
2024-11-27,220686622.68368483,0.005873866901786024
2024-11-28,221081200.42893785,0.001787954976403725
2024-11-29,222279051.77307275,0.0054181510766672025
2024-11-30,222252496.6732514,-0.00011946739744276383
2024-12-01,222251488.79377675,-4.534839831893965e-06
2024-12-02,223319509.43650708,0.004805460015259194
2024-12-03,222801081.72021255,-0.002321461826611791
2024-12-04,223518904.66743165,0.0032218108712799916
2024-12-05,223734775.9462831,0.0009657853288635382
2024-12-06,223428499.4470594,-0.0013689266584879594
2024-12-07,223427626.70571908,-3.906132576983691e-06
2024-12-08,223372397.21710584,-0.000247191851015003
2024-12-09,223969267.08696875,0.0026720842740601807
2024-12-10,223522082.7654016,-0.001996632517413627
2024-12-11,222196498.26869068,-0.00593044087774624
2024-12-12,221781927.4931442,-0.0018657844690474733
2024-12-13,225713273.39416215,0.017726177896706545
2024-12-14,225673102.40003732,-0.00017797355698576887
2024-12-15,225680802.0640922,3.411866089911454e-05
2024-12-16,226520628.6305363,0.003721302648532707
2024-12-17,225240439.93420148,-0.005651532507544122
2024-12-18,224253836.71220502,-0.004380222407151526
2024-12-19,224325099.81055054,0.00031777872517299317
2024-12-20,225001339.4319429,0.0030145517463871204
2024-12-21,225014473.3308187,5.837253639905013e-05
2024-12-22,225020138.35260653,2.5176255126910176e-05
2024-12-23,225076839.06327364,0.0002519806053013093
2024-12-24,225075177.56956822,-7.381895499855031e-06
2024-12-25,225096587.7424033,9.512454045917147e-05
