metal,mode,entry_usd_long,entry_usd_short,exit_usd,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xau,SHORT,8.0,28.6876791415293,0.5,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,8.0,28.6876791415293,1.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,SHORT,8.0,28.6876791415293,1.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xag,BOTH,0.021333333333333333,0.3581630515441684,0.0,10,7,3,1.0,1.0,1.0,1451.8393766701001,748.0265653841816,1.940892802282289,-402.4383917788807,79.02317879277088,2.6101752959600786,76.6530034968108,7,5,2,0.7142857142857143,0.6,1.0,714.082442778774,270.8410275981756,2.636537193464644,-62.642015333639044,35.49055078277635,-2.139086080586081,37.86963686336243
xag,LONG,0.021333333333333333,0.3581630515441684,0.0,8,8,0,1.0,1.0,,580.5233653468085,674.5903775934789,0.8605568425356981,-402.4383917788807,46.53201076299045,0.44715819597069595,46.32485256701976,6,6,0,0.6666666666666666,0.6666666666666666,,465.4571042085173,205.3355154151378,2.2668124570047117,-58.337043627196095,23.03379567459145,1.0238516483516482,22.249944026239802
xag,SHORT,0.021333333333333333,0.3581630515441684,0.0,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.021333333333333333,0.3581630515441684,0.005333333333333333,10,7,3,1.0,1.0,1.0,1451.7851055477797,748.0243700651379,1.9408259458463344,-402.4383917788807,79.02055138129347,2.7395898258746088,76.52096155541886,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.4994909548884,266.44270897273407,2.9931368511813887,-62.642015333639044,31.790773582374484,-1.6497263397096733,33.68049992208416
xag,LONG,0.021333333333333333,0.3581630515441684,0.005333333333333333,8,8,0,1.0,1.0,,580.4690942244883,674.5876628244611,0.8604798548999495,-402.4383917788807,46.52872649864369,0.6089263583638583,46.15980014027983,8,8,0,0.875,0.875,,548.8741523846315,199.91379060755085,2.7455542247314093,-44.19803704071995,21.985735101185572,0.7836469246031748,21.442088176582395
xag,SHORT,0.021333333333333333,0.3581630515441684,0.005333333333333333,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.021333333333333333,0.3581630515441684,0.010666666666666666,10,7,3,1.0,1.0,1.0,1451.7851055477797,748.0243700651379,1.9408259458463344,-402.4383917788807,79.02055138129347,2.7395898258746088,76.52096155541886,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.2983458137551,266.42109651936494,2.992624669104622,-62.642015333639044,31.78021967064835,-1.52443663003663,33.54465630068498
xag,LONG,0.021333333333333333,0.3581630515441684,0.010666666666666666,8,8,0,1.0,1.0,,580.4690942244883,674.5876628244611,0.8604798548999495,-402.4383917788807,46.52872649864369,0.6089263583638583,46.15980014027983,8,8,0,0.875,0.875,,548.6730072434984,199.88398363635872,2.7449573360598927,-44.19803704071995,21.97386195049367,0.924597847985348,21.289264102508323
xag,SHORT,0.021333333333333333,0.3581630515441684,0.010666666666666666,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.042666666666666665,0.3581630515441684,0.0,8,5,3,1.0,1.0,1.0,1409.9510249177058,747.8917890041065,1.8852339946066237,-402.4383917788807,96.25396973672818,4.049952025933004,92.44401771079517,7,5,2,0.7142857142857143,0.6,1.0,714.082442778774,270.8410275981756,2.636537193464644,-62.642015333639044,35.49055078277635,-2.139086080586081,37.86963686336243
xag,LONG,0.042666666666666665,0.3581630515441684,0.0,6,6,0,1.0,1.0,,538.6350135944141,674.2243710682809,0.798895793014674,-402.43839177888066,58.6760093450067,1.6458548026048023,57.27015454240189,6,6,0,0.6666666666666666,0.6666666666666666,,465.4571042085173,205.3355154151378,2.2668124570047117,-58.337043627196095,23.03379567459145,1.0238516483516482,22.249944026239802
xag,SHORT,0.042666666666666665,0.3581630515441684,0.0,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.042666666666666665,0.3581630515441684,0.005333333333333333,8,5,3,1.0,1.0,1.0,1409.9510249177058,747.8917890041065,1.8852339946066237,-402.4383917788807,96.25396973672818,4.049952025933004,92.44401771079517,9,7,2,0.8888888888888888,0.8571428571428571,1.0,797.4994909548884,266.44270897273407,2.9931368511813887,-62.642015333639044,31.790773582374484,-1.6497263397096733,33.68049992208416
xag,LONG,0.042666666666666665,0.3581630515441684,0.005333333333333333,6,6,0,1.0,1.0,,538.6350135944141,674.2243710682809,0.798895793014674,-402.43839177888066,58.6760093450067,1.6458548026048023,57.27015454240189,8,8,0,0.875,0.875,,548.8741523846315,199.91379060755085,2.7455542247314093,-44.19803704071995,21.985735101185572,0.7836469246031748,21.442088176582395
xag,SHORT,0.042666666666666665,0.3581630515441684,0.005333333333333333,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
