date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_comex_lbma_slope_basis,rate_regime
2018-09-14,-0.30286648169351854,0.24565181969443783,2.0308199427989146,1.416732380566419,-1.4466770581796056,-1.0413560591737498,1.990865312590692,-1.984786180001967,1.416732380566419,1.285651303052492,mid
2018-09-15,-0.30222483769698694,0.2451464106692582,2.0107481628277952,1.408473424582921,-1.4380046064618635,-1.0341498125165745,1.9665940075658306,-1.9606750279704364,1.408473424582921,1.2790348363096007,mid
2018-09-16,-0.3015872561603034,0.24464410919188537,1.9912604674546517,1.4003574062445066,-1.4294864482007144,-1.0270035264783226,1.9429589688129119,-1.9371926179245493,1.4003574062445066,1.2725196041456142,mid
2018-09-17,-0.9924993547618636,-0.17213879261717063,2.059647339791847,2.2830211870062285,-1.6448701589666734,-1.8244553213415873,1.996066258745343,-2.2013788163171575,2.2830211870062285,1.7756671219303972,mid
2018-09-18,-1.3965765382422748,-0.3864219079594847,1.994579174580807,2.8439747942899527,-1.727402673526481,-2.2727971636401327,1.9409151159629083,-2.2753049137957158,2.8439747942899527,1.9537899432480692,mid
2018-09-19,-1.4309379849097708,-0.440615102823168,1.6156248876690418,2.783385140799563,-1.5858373847523286,-2.2886723880381914,1.5070926682075665,-1.9117079643706776,2.783385140799563,1.9409122991353112,mid
2018-09-20,-0.8046913824214426,-0.10420878271243132,1.5930181770872804,1.8804278399161996,-1.3923788113103848,-1.7495452450118485,1.4974551149386746,-1.7502670311308575,1.8804278399161996,1.0515414543660802,mid
2018-09-21,-0.7181216768899173,-0.12088523869891306,1.5576475716413694,1.6091607412974105,-1.3495188605898534,-1.8274707241338273,1.4105294390809384,-1.697363044036587,1.6091607412974105,1.351203765021236,mid
2018-09-22,-0.7160637822183807,-0.12065359237702719,1.547583709160034,1.5982729705421945,-1.3423305855192096,-1.8080234698179065,1.3987472459710821,-1.6804325170047136,1.5982729705421945,1.3439949680862666,mid
2018-09-23,-0.7140234982373204,-0.1204232727192271,1.5377126242661074,1.5876034732846485,-1.3352560963385347,-1.7890041987658172,1.3871315107902729,-1.663833181046693,1.5876034732846485,1.3369004629390246,mid
2018-09-24,-0.5213675752558189,0.09337631383554462,1.4741936631334898,1.5550463112879185,-1.2490100458801738,-1.5610724152911581,1.3350865389917081,-1.554783077813344,1.5550463112879185,1.2341774931842762,mid
2018-09-25,0.778942106152644,0.8280961089425286,1.5815801856499865,-0.18617163955179586,-0.9285919977115297,-0.3037520589717842,1.3201496073241803,-1.1891206730336892,-0.18617163955179586,-0.06434719871485374,mid
2018-09-26,-0.695690703503918,-0.10057342349431159,1.6129518053140093,1.5736087255339248,-1.359882309959375,-1.8268700875580368,1.1646613349202781,-1.485861583306435,1.5736087255339248,1.614428950134749,mid
2018-09-27,0.29217782871361014,0.4047391859846895,1.5297465144875098,0.1371395661268504,-1.0415893949595816,-0.7361735498174855,1.2522158951806885,-1.2517062050869587,0.1371395661268504,-0.9756945015422475,mid
2018-09-28,-0.6711155475873426,0.05318937850207971,1.5142982185103646,1.8386387094114356,-1.3068756716580552,-1.7762499164411543,1.1890721001242566,-1.4903075097930547,1.8386387094114356,-0.23634340678819749,mid
2018-09-29,-0.6693227422536082,0.053091238406769034,1.5051340002123885,1.8238731071998733,-1.3003647851185072,-1.7579613795952203,1.179862796014796,-1.476888021920699,1.8238731071998733,-0.23588416466931889,mid
2018-09-30,-0.6675442433126717,0.05299363954908034,1.4961343422651678,1.8094579203573826,-1.293950360524165,-1.740055506633279,1.1707520713477255,-1.46368061223114,1.8094579203573826,-0.2354275898843517,mid
2018-10-01,1.5227148420055692,1.1714602521142823,1.5177021290448647,-1.3405485237135142,-0.6866669881757597,0.5737570400753135,1.1783695365708018,-0.8181022082032893,-1.3405485237135142,-1.9532572440727067,mid
2018-10-02,1.3569508564371489,1.1112650312164596,1.4865259138266576,-1.0533429039793463,-0.7174776698479697,0.31125076562856724,1.1310115140517552,-0.854042630352804,-1.0533429039793463,-1.986265208486677,mid
2018-10-03,1.391509658130468,1.1542692606801097,1.5471797193836405,-1.052792249334742,-0.7411658111767329,0.35748288805595646,1.1799635612761656,-0.8832885124676471,-1.052792249334742,-1.9978787801483089,mid
2018-10-04,1.6113324259537898,1.287119115762552,1.6916718529523225,-1.3328581400319113,-0.756989512500003,0.10005669809211677,1.3170430211209057,-1.0715058372232666,-1.3328581400319113,-2.731290515530263,mid
2018-10-05,1.7719807613669767,1.599370839915706,2.0639209507736056,-1.0760220633199344,-0.901145134033789,0.1969657753628443,1.6480920715688585,-1.3236535263019702,-1.0760220633199344,-2.752863030138289,mid
