ticker,display_name,final_score,date,close_price,roc_component,ma_component,rsi_component,price_ma_component,roc_1d,roc_5d,roc_20d,rsi,ma5_slope,ma20_slope,price_vs_ma20
XLB,XLB (Mat),2.3,2026-01-16,48.68000030517578,0.5038727100099971,0.5248189145873194,0.6128774214833533,0.21359998876477387,-0.5718929422645246,0.8702900916910659,8.27902201443305,70.42924738277844,0.17268398491983056,0.39901209786670966,3.9565616438740667
XLRE,XLRE (RE),2.3,2026-01-16,42.209999084472656,1.0518654431029284,0.5653724293842272,0.7140825455909172,0.42407016753899585,1.2230175352573618,4.22221996166088,4.7662889779928355,73.80275151969724,0.8335766255047237,0.23693466531580176,3.9135101284512253
XHB,XHB (Home),2.9,2026-01-16,114.55999755859375,0.7738513571936873,0.5592606306663065,0.6642759928189755,0.41042719558067353,-0.7708959836936474,1.2014139991305726,8.66072307291516,72.14253309396585,0.2381578915022426,0.4257679183406809,6.383973397134299
XBI,XBI (Bio),0.5,2026-01-16,124.18000030517578,-0.04620060259127143,0.46922421937315234,-0.0560749562736057,0.0018186871914320072,-0.13670942583943127,-0.25702786732868976,3.018707208508987,48.13083479087981,-0.051327242985097075,0.14734323504703023,0.41899434318167167
SMH,SMH (Semi),3.1,2026-01-16,400.3900146484375,1.5343879868652508,0.5932438301119354,0.7438616360029695,0.4988553672291363,1.0040137608940347,2.8698456895077538,18.392843574841265,74.79538786676565,0.5710144492073747,0.8361983310519229,6.7577476552938
SPHB,SPHB (HiB),1.3,2026-01-16,122.80000305175781,0.31692238557197383,0.48631966360258705,0.29776017577526,0.07145264294454189,-0.453953920090009,-0.17071708058348586,6.565313490134014,59.925339192508666,-0.034156189547655036,0.3145288527790094,1.7857655593834194
SPLV,SPLV (LoVol),1.5,2026-01-16,73.2300033569336,0.437499427832438,0.5083046265073112,0.48341239938964886,0.20283878994561605,0.24640697831079675,1.9348651028672676,2.055766381851806,66.11374664632163,0.3841602443160479,0.10275907854849886,1.9220001213604454
AAPL,AAPL,-2.6,2026-01-16,255.52999877929688,-0.8854265739583881,-0.5342529521235064,-1.185537816986195,-0.32602487951606546,-1.0379120733008116,-1.4805090836184245,-5.9998520373436195,10.482072767126837,-0.29564815057605776,-0.30510042965733647,-4.106786735943008
NVDA,NVDA,0.1,2026-01-16,186.22999572753906,0.38507647413718316,0.023767839574774734,-0.28717732188630085,0.03271245378076381,-0.4383893669287186,0.7410987302089107,8.944654889292996,40.42742260378997,0.1479795973937606,0.4127377353724314,0.1284983471552717
MSFT,MSFT,-2.4,2026-01-16,459.8599853515625,-0.4556514491598538,-0.5487849040951127,-0.7130058331861888,-0.33220764419594273,0.7007361415038325,-4.0519140121006965,-3.4151075217126556,26.233138893793708,-0.8287923333111273,-0.16971506132267894,-3.840346569818407
AMZN,AMZN,0.7,2026-01-16,239.1199951171875,0.4165800005884494,0.001329505051755837,0.24134532510851706,-0.028172973464871652,0.3946605383793984,-3.33899652461317,8.06706309037124,58.0448441702839,-0.6819240616495972,0.38011944161908634,1.4565909925371454
META,META,-2.5,2026-01-16,620.25,-0.6969860123181368,-0.583235924440615,-0.6296077713591844,-0.3804933180833087,-0.08859339622799187,-5.024040315017148,-4.503464203233257,29.013074288027184,-1.0374899613356974,-0.22427988920114858,-4.668514563241052
TSLA,TSLA,-1.4,2026-01-16,437.5,-0.41641310035972795,-0.04646781428036985,-0.5654066324998352,-0.2502269668362744,-0.24397640202234186,-1.6876046832250635,-6.369047028131608,31.153112250005492,-0.33845032556424026,-0.32562501213986933,-3.947379136803248
GOOGL,GOOGL,2.2,2026-01-16,330.0,0.328319595677373,0.5181717689916265,0.7163325909428357,0.10648437353721134,-0.8353863782362109,0.4352170447408472,11.215960717977653,73.87775303142786,0.08588441491494017,0.5235214798824906,3.2826672694570855
AVGO,AVGO,0.7,2026-01-16,351.7099914550781,1.141386875400551,0.061428256490785454,-0.008632798403280403,0.23025356436164457,2.5333807707223412,1.95379024568079,8.086304483672448,49.71224005322399,0.3885392462972587,0.3825450130352296,1.8767111281345166
GOOG,GOOG,2.1,2026-01-16,330.3399963378906,0.30774517852858074,0.5164373964403158,0.6454956247310285,0.09504489480694299,-0.8464423379820825,0.3645809187724728,10.830033900456955,71.51652082436762,0.07195126878408374,0.506416473785337,3.126833251641645
BRK-B,BRK-B,-1.1,2026-01-16,493.2900085449219,-0.17520428383851586,-0.48072900760962023,-0.2603040556610864,-0.08859213269968687,0.13601019738855466,-1.1640948682714962,-2.1774011358927625,41.32319814463045,-0.23438939968270706,-0.11003318565183204,-1.0233922644981956
JPM,JPM,-1.4,2026-01-16,312.4700012207031,-0.2933338047871126,-0.11585272413268427,-0.3712043220984151,-0.26764794960646887,1.0379587899227063,-5.079133964185069,-0.3493945498537847,37.6265225967195,-1.0570838719506106,-0.017023029323083177,-2.8809121632676935
LLY,LLY,-1.4,2026-01-16,1038.4000244140625,-0.6322268229733665,-0.519276226838091,-0.25266482070886664,-0.3685994007603693,0.5256739174364725,-2.365643009662694,-0.3254028663480169,41.577839309704444,-0.47222197656482656,-0.015831336088649173,-2.998279048128516
V,V,-2.8,2026-01-16,328.29998779296875,-0.8808756910131038,-0.6081502155473849,-0.762277028165169,-0.4598219231363428,0.1678071069317315,-6.138320008885582,-4.677569088540672,24.5907657278277,-1.2796748643000206,-0.23153427297200568,-5.413994008859711
XOM,XOM,2.8,2026-01-16,129.88999938964844,0.99943555415881,0.5893632566095834,0.5552884917690555,0.49951530593658,0.5885498939813751,4.237219126422391,10.629414307365884,68.50961639230185,0.8321379901846291,0.5128688064011627,6.212563375115743
UNH,UNH,-0.4,2026-01-16,331.0199890136719,-0.8179405477220144,-0.0763742384844574,-0.01859782672672104,-0.26885706869149717,-2.342460066546977,-3.7676671779545234,-0.18394471554411526,49.38007244244263,-0.7658048619486022,-0.009110085352609047,-1.1207656549092888
MA,MA,-2.7,2026-01-16,539.489990234375,-1.0299846450580397,-0.6001009927073745,-0.7588231683855448,-0.47380891529284413,-0.5823337395220081,-6.263680920399247,-4.451102152092287,24.705894387148504,-1.2984996978888586,-0.22090865158122067,-4.947991928572974
COST,COST,3.6,2026-01-16,963.6099853515625,1.4816580750169586,0.6361129135200246,0.9448017016593222,0.5678901122725083,0.7170091822903057,4.1875681455193,11.703467000545789,81.49339005531074,0.8209643953696201,0.5685790177331804,7.922159916176677
HD,HD,3.0,2026-01-16,380.1700134277344,0.9367705474916497,0.5613347195873974,0.8560567506602111,0.45708189836395907,0.266380882970208,1.4760833234768664,6.564825067339698,78.53522502200704,0.2934573696679797,0.3291468081478616,6.508248518952999
WMT,WMT,2.5,2026-01-16,119.69999694824219,0.7882787232957909,0.5765340365689859,0.7528375731972421,0.3245232692308963,0.4194630979874143,4.514099558237201,3.492990799079776,75.0945857732414,0.8731630100099202,0.17678484209045275,4.573447942682759
PG,PG,0.4,2026-01-16,144.52999877929688,0.03770222894267802,0.03915947592747908,-0.018717139948121967,0.10541641719381624,-0.06914616617530758,1.8749585914288345,-2.2190642266918665,49.3760953350626,0.3691629442111868,-0.11440485909247876,0.9382850022371553
NFLX,NFLX,-2.5,2026-01-16,88.0,-0.5833876671037527,-0.5212726732825993,-1.0335465880597934,-0.3040979605996949,-0.05678938106159924,-1.6320133013795934,-7.163203766163366,15.548447064673553,-0.3275082564632073,-0.36904986558554387,-3.986209711442059
JNJ,JNJ,2.6,2026-01-16,218.66000366210938,0.87950379653447,0.6122897796421587,0.6226938127622329,0.43340563051125347,-0.41444807202909845,6.981752686077682,3.9604439492876877,70.75646042540777,1.338800259606123,0.19973580716864933,4.651052950247924
BAC,BAC,-2.2,2026-01-16,52.970001220703125,-0.5625916926386089,-0.5863281904786233,-0.4918027020245253,-0.40004717420606406,0.7225728598833917,-5.156664873952427,-2.896421702026335,33.60657659918249,-1.0641039267590444,-0.14278724907766008,-4.123223560196808
ABBV,ABBV,-2.0,2026-01-16,214.35000610351562,-0.833453027299099,-0.5337562322475867,-0.4396225656600304,-0.3597309473639057,-0.31159806326500183,-1.81996924247647,-3.6714272626682707,35.34591447799899,-0.3642884863982829,-0.1825997872098607,-4.00597419503032
CRM,CRM,-4.5,2026-01-16,227.11000061035156,-2.4156952285161846,-0.7788842577706496,-0.909521507710943,-1.02379760042138,-2.7491106934885425,-12.629838240635927,-11.878598240399759,19.68261640963523,-2.661532373818774,-0.5927346586608604,-11.531554886812877
AMD,AMD,3.5,2026-01-16,231.8300018310547,2.1912402477652964,0.7402544744420546,0.41862771030653617,0.8134295314145987,1.715515836048354,14.10641527804575,17.02084756792495,63.95425701021787,2.6454980847040215,0.7888568424594388,7.621175196782497
VEA,VEA (Dev ex-US Eq),2.0,2026-01-16,65.13999938964844,0.5182936284914104,0.5052130521939983,0.796127687343969,0.17357659752856838,0.27709406975470013,0.9452977249199462,6.807623545606589,76.5375895781323,0.1883648151092257,0.32810833593222777,2.6198455230600106
IEMG,IEMG (EM Eq),2.3,2026-01-16,70.91999816894531,0.5023596526888854,0.5147978605766709,0.7986416695818682,0.16532904006585805,-0.36527414318030416,1.2564209621860243,9.579723163322324,76.62138898606227,0.24896657491577873,0.4533520254494596,3.2472190298944867
EEM,EEM (EM Eq - Legacy),2.3,2026-01-16,57.869998931884766,0.526614263475004,0.5170024134407649,0.7871785876375248,0.17298717568395147,-0.3787247721212547,1.277563090713956,10.019012567759832,76.23928625458416,0.25309418268513084,0.47313801741176736,3.421467585571799
ACWI,ACWI (Global Eq),1.3,2026-01-16,145.0,0.2667430461834139,0.4775117753894431,0.4245305135355231,0.06343557978861784,0.0,0.17271157167530224,4.647807848497489,64.15101711785077,0.03449560473697191,0.2253222326227198,1.2368329711841006
BNDX,BNDX (Int'l IG Bonds Hdg),1.0,2026-01-16,48.540000915527344,0.007883937216883173,0.4546182212729758,0.3103509510404883,0.005746479006822346,-0.10290026117212088,0.0,0.4324339000773658,60.34503170134961,0.0,0.02158148506481603,0.2240295303716299
VWOB,VWOB (EM USD Sov Bonds),-0.2,2026-01-16,67.41000366210938,-0.023540572800177937,-5.842069427687959e-05,-0.21027337678079952,-0.00556526147111651,-0.1333279079861111,-0.029655410019138545,0.3349052789938579,42.990887440640016,-0.005930730113166947,0.016680154108511962,-0.07189049030694179
